date,aw_acft
11/30/19,0.012336927
12/1/19,0.021543589
12/2/19,0.009206662
12/3/19,0.030750251
12/4/19,0.042903045
12/5/19,0.024673854
12/6/19,0
12/7/19,0
12/8/19,0.036826648
12/9/19,0.024673854
12/10/19,0.024673854
12/11/19,0.027435853
12/12/19,0.064446634
12/13/19,0.141230194
12/14/19,0.061500502
12/15/19,0.006076397
12/16/19,0.003130265
12/17/19,0.003130265
12/18/19,0.003130265
12/19/19,0.00626053
12/20/19,0.012336927
12/21/19,0.006076397
12/22/19,0.006076397
12/23/19,0.036826648
12/24/19,0.175294843
12/25/19,0.119870738
12/26/19,0.021543589
12/27/19,0.015283059
12/28/19,0.009206662
12/29/19,0
12/30/19,0.003130265
12/31/19,0.003130265
1/1/20,0
1/2/20,0.003130265
1/3/20,0
1/4/20,0.003130265
1/5/20,0
1/6/20,0
1/7/20,0
1/8/20,0.003130265
1/9/20,0
1/10/20,0
1/11/20,0.003130265
1/12/20,0
1/13/20,0
1/14/20,0.003130265
1/15/20,0
1/16/20,0.00626053
1/17/20,0
1/18/20,0
1/19/20,0
1/20/20,0
1/21/20,0
1/22/20,0.003130265
1/23/20,0.055424105
1/24/20,0.006076397
1/25/20,0.006076397
1/26/20,0.015283059
1/27/20,0.018597457
1/28/20,0
1/29/20,0.018413324
1/30/20,0.009206662
1/31/20,0.012336927
2/1/20,0.009206662
2/2/20,0.033880516
2/3/20,0.009206662
2/4/20,0.003130265
2/5/20,0.003130265
2/6/20,0
2/7/20,0.024489721
2/8/20,0.055239972
2/9/20,0.021543589
2/10/20,0.015467192
2/11/20,0.003130265
2/12/20,0.009206662
2/13/20,0.003130265
2/14/20,0.00626053
2/15/20,0.015467192
2/16/20,0
2/17/20,0.009206662
2/18/20,0
2/19/20,0.003130265
2/20/20,0.003130265
2/21/20,0
2/22/20,0.003130265
2/23/20,0.024489721
2/24/20,0.009206662
2/25/20,0.006076397
2/26/20,0.015283059
2/27/20,0.009206662
2/28/20,0.006076397
2/29/20,0.033696383
3/1/20,0.049163575
3/2/20,0.012336927
3/3/20,0.003130265
3/4/20,0.003130265
3/5/20,0.00626053
3/6/20,0.009206662
3/7/20,0.015467192
3/8/20,0.018413324
3/9/20,0.058370237
3/10/20,0.003130265
3/11/20,0.009206662
3/12/20,0.00626053
3/13/20,0
3/14/20,0.003130265
3/15/20,0.033880516
3/16/20,0.015283059
3/17/20,0.015283059
3/18/20,0.00626053
3/19/20,0.092066619
3/20/20,0.015283059
3/21/20,0.040141046
3/22/20,0.061316369
3/23/20,0.042903045
3/24/20,0.006076397
3/25/20,0.009390795
3/26/20,0.006076397
3/27/20,0.012152794
3/28/20,0.018597457
3/29/20,0.037010781
3/30/20,0.067392765
3/31/20,0.015467192
4/1/20,0.009390795
4/2/20,0.00626053
4/3/20,0.003130265
4/4/20,0.00626053
4/5/20,0
4/6/20,0
4/7/20,0.00626053
4/8/20,0
4/9/20,0
4/10/20,0
4/11/20,0
4/12/20,0
4/13/20,0
4/14/20,0
4/15/20,0
4/16/20,0
4/17/20,0
4/18/20,0
4/19/20,0
4/20/20,0
4/21/20,0
4/22/20,0
4/23/20,0
4/24/20,0
4/25/20,0
4/26/20,0
4/27/20,0.396070597
4/28/20,1.313606526
4/29/20,0.509312539
4/30/20,0.966331237
5/1/20,0.807055986
5/2/20,2.430374619
5/3/20,2.731064198
5/4/20,1.918115949
5/5/20,1.51965162
5/6/20,0
5/7/20,0
5/8/20,0.44799617
5/9/20,2.663487299
5/10/20,0
5/11/20,0
5/12/20,1.125790622
5/13/20,2.02564976
5/14/20,0
5/15/20,0.21488349
5/16/20,2.743401125
5/17/20,0.171796312
5/18/20,0
5/19/20,0
5/20/20,0
5/21/20,0
5/22/20,0
5/23/20,1.295377335
5/24/20,0.374527008
5/25/20,0.923612326
5/26/20,0
5/27/20,0
5/28/20,0.616662217
5/29/20,2.581179742
5/30/20,2.649124907
5/31/20,2.682453023
6/1/20,2.719095538
6/2/20,2.715965272
6/3/20,2.756106319
6/4/20,2.654648904
6/5/20,2.783542171
6/6/20,2.648572507
6/7/20,2.816870287
6/8/20,2.663671433
6/9/20,2.801771362
6/10/20,2.645626375
6/11/20,2.822946684
6/12/20,1.51339109
6/13/20,0
6/14/20,1.359823969
6/15/20,1.540642809
6/16/20,0
6/17/20,0
6/18/20,1.227616303
6/19/20,0.782382132
6/20/20,0
6/21/20,0
6/22/20,0
6/23/20,0
6/24/20,0
6/25/20,0
6/26/20,0
6/27/20,0
6/28/20,0
6/29/20,0
6/30/20,0.042903045
7/1/20,2.715965272
7/2/20,2.755553919
7/3/20,2.770836978
7/4/20,2.773783109
7/5/20,2.74597899
7/6/20,2.752239521
7/7/20,2.755553919
7/8/20,2.743216992
7/9/20,2.734378596
7/10/20,1.647808354
7/11/20,0.107349678
7/12/20,2.731064198
7/13/20,0.064446634
7/14/20,0
7/15/20,0.027619986
7/16/20,1.433108998
7/17/20,0
7/18/20,1.568631061
7/19/20,1.313238259
7/20/20,1.638785825
7/21/20,1.39002182
7/22/20,1.454468453
7/23/20,0
7/24/20,0
7/25/20,0.012336927
7/26/20,0
7/27/20,0
7/28/20,0
7/29/20,0
7/30/20,0
7/31/20,0
8/1/20,0
8/2/20,0
8/3/20,0.96080724
8/4/20,0.659749395
8/5/20,0
8/6/20,1.516521355
8/7/20,0.178056842
8/8/20,0
8/9/20,0
8/10/20,0
8/11/20,0
8/12/20,0.208807093
8/13/20,1.399228482
8/14/20,0
8/15/20,1.135181417
8/16/20,0.570628907
8/17/20,0
8/18/20,0
8/19/20,0
8/20/20,0
8/21/20,0
8/22/20,0.37747314
8/23/20,1.178268595
8/24/20,0
8/25/20,0
8/26/20,0
8/27/20,0
8/28/20,1.596251047
8/29/20,0.039956913
8/30/20,0
8/31/20,0
9/1/20,0
9/2/20,1.733798577
9/3/20,0.199416298
9/4/20,1.421140337
9/5/20,0
9/6/20,0
9/7/20,0
9/8/20,0
9/9/20,0
9/10/20,0
9/11/20,0
9/12/20,0.254656269
9/13/20,1.424270602
9/14/20,0.82546931
9/15/20,2.56571255
9/16/20,0
9/17/20,0
9/18/20,0.368266478
9/19/20,2.798088697
9/20/20,0.135153797
9/21/20,0
9/22/20,0
9/23/20,0
9/24/20,0
9/25/20,0
9/26/20,0
9/27/20,0.199416298
9/28/20,2.761262049
9/29/20,2.813187623
9/30/20,1.690711399
10/1/20,0
10/2/20,0
10/3/20,0
10/4/20,0
10/5/20,0
10/6/20,0
10/7/20,0
10/8/20,0.064446634
10/9/20,0
10/10/20,0
10/11/20,0
10/12/20,0
10/13/20,0
10/14/20,1.273097213
10/15/20,1.804137474
10/16/20,0
10/17/20,0
10/18/20,0
10/19/20,0
10/20/20,0
10/21/20,0
10/22/20,0
10/23/20,0
10/24/20,0
10/25/20,0
10/26/20,0.00626053
10/27/20,0
10/28/20,0
10/29/20,0
10/30/20,0
10/31/20,0
11/1/20,0
11/2/20,0
11/3/20,0
11/4/20,0
11/5/20,0
11/6/20,0
11/7/20,0
11/8/20,0
11/9/20,0
11/10/20,0
11/11/20,0
11/12/20,0.003130265
11/13/20,0
11/14/20,0
11/15/20,0
11/16/20,0
11/17/20,0
11/18/20,0
11/19/20,0
11/20/20,0
11/21/20,0
11/22/20,0
11/23/20,0
11/24/20,0
11/25/20,0
11/26/20,0
11/27/20,0
11/28/20,0
11/29/20,0
11/30/20,0
12/1/20,0
12/2/20,0
12/3/20,0
12/4/20,0
12/5/20,0
12/6/20,0
12/7/20,0
12/8/20,0
12/9/20,0
12/10/20,0
12/11/20,0
12/12/20,0
12/13/20,0
12/14/20,0
12/15/20,0
12/16/20,0
12/17/20,0
12/18/20,0
12/19/20,0
12/20/20,0
12/21/20,0
12/22/20,0
12/23/20,0
12/24/20,0
12/25/20,0
12/26/20,0
12/27/20,0
12/28/20,0
12/29/20,0
12/30/20,0
12/31/20,0
